rs10004195	Lesion of stomach
rs558133	Leukemia, Lymphocytic, Acute, L1
rs558994	Diabetes Mellitus, Non-Insulin-Dependent
rs56013859	alcohol use disorder
rs560191	Carcinoma of lung
rs560191	Malignant neoplasm of lung
rs560887	Diabetes Mellitus, Insulin-Dependent
rs560887	Gestational Diabetes
rs560887	Impaired glucose tolerance
rs560887	Metabolic Syndrome X
rs560887	Obesity
rs56163822	Non-Malignant Ascites Adverse Event
rs56164415	Depressive disorder
rs56164415	Mental Depression
rs56167332	Takayasu Arteritis
rs56204867	Hypertensive disease
rs56225452	Fatty Liver
rs562338	Coronary heart disease
rs564398	Diabetes Mellitus, Non-Insulin-Dependent
rs564398	Squamous cell carcinoma
rs565453	Adenomatous Polyposis Coli
rs568404	Asthma
rs568408	Chronic Lymphocytic Leukemia
rs568408	Hepatitis B
rs568408	Liver carcinoma
rs568408	Lymphoma, Follicular
rs568408	Mucosa-Associated Lymphoid Tissue Lymphoma
rs568408	Osteosarcoma
rs568408	Osteosarcoma of bone
rs5705	Coronary Arteriosclerosis
rs5705	Coronary Artery Disease
rs5705	Coronary heart disease
rs5705	Restenosis
rs57095329	Sepsis
rs57095329	Septicemia
rs571312	Obesity
rs57137919	Arteriosclerosis
rs57137919	Atherosclerosis
rs57137919	Coronary Artery Disease
rs57137919	Myocardial Infarction
rs572169	Breast Carcinoma
rs572169	Malignant neoplasm of breast
rs572169	Obesity
rs573775	Lupus Erythematosus, Systemic
rs573872	Pyloric Stenosis, Hypertrophic
rs5742612	Adolescent idiopathic scoliosis
rs5742612	Polyp of large intestine
rs5742905	Cystathionine beta-Synthase Deficiency Disease
rs5742905	Endothelial dysfunction
rs5742905	Homocysteinemia
rs5742905	Homocystinuria
rs5742905	Homocystinuria, Pyridoxine-Responsive
rs5742905	Hyperhomocysteinemia
rs5742909	Autoimmune Diseases
rs5742909	Cervix carcinoma
rs5742909	Malignant tumor of cervix
rs5742909	Metabolic Syndrome X
rs5742909	Osteosarcoma
rs5742909	Osteosarcoma of bone
rs5742912	Intestinal Diseases
rs5742912	Metabolic Syndrome X
rs5742915	Osteitis Deformans
rs5742915	Paget's Disease
rs5743293	Crohn Disease
rs5743293	Inflammatory Bowel Diseases
rs5743312	Lip and Oral Cavity Carcinoma
rs5743312	Malignant neoplasm of mouth
rs5743507	Organ dysfunction syndrome
rs5743551	Coronary Artery Disease
rs5743551	Non-Small Cell Lung Carcinoma
rs5743611	Chronic Q Fever
rs5743611	Pancolitis
rs5743618	Asthma
rs5743618	Asymptomatic Infections
rs5743618	Bronchiolitis
rs5743618	Dermatitis, Atopic
rs5743618	Gastric ulcer
rs5743618	Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site
rs5743618	Ileal Diseases
rs5743618	Leprosy
rs5743618	Leptospirosis
rs5743618	Lyme Disease
rs5743618	Malignant neoplasm of stomach
rs5743618	Stomach Carcinoma
rs5743618	Tuberculosis
rs5743618	Tuberculosis, Pulmonary
rs5743708	Acne
rs5743708	Acne Vulgaris
rs5743708	Acute myocardial infarction
rs5743708	Alzheimer's Disease
rs5743708	Arthritis
rs5743708	Asthma
rs5743708	Bacterial Infections
rs5743708	Behcet Syndrome
rs5743708	Candida sepsis
rs5743708	Carotid Atherosclerosis
rs5743708	Cerebral Infarction
rs5743708	Cerebrovascular accident
rs5743708	Chlamydia Infections
rs5743708	Chronic Obstructive Airway Disease
rs5743708	Chronic Periodontitis
rs5743708	Coronary Arteriosclerosis
rs5743708	Coronary Artery Disease
rs5743708	Coronary heart disease
rs5743708	Cytomegalovirus Infections
rs5743708	Dermatitis, Atopic
rs5743708	Diabetes Mellitus, Non-Insulin-Dependent
rs5743708	Eclampsia
rs5743708	Eczema
rs5743708	Familial Mediterranean Fever
rs5743708	Gram positive sepsis
rs5743708	Hepatitis C
rs5743708	Hepatitis C, Chronic
rs5743708	HIV Infections
rs5743708	Inflammatory disorder
rs5743708	Latent Tuberculosis
rs5743708	Leishmaniasis, Cutaneous
rs5743708	Leptospirosis
rs5743708	Lung diseases
rs5743708	Lyme Disease
rs5743708	Mycobacterium Infections
rs5743708	Nasopharyngeal carcinoma
rs5743708	Obesity
rs5743708	Osteomyelitis
rs5743708	Periodontitis
rs5743708	Pneumonia
rs5743708	Pneumonitis
rs5743708	Prosthetic joint infection
rs5743708	Reactive systemic amyloidosis
rs5743708	Rheumatic Fever
rs5743708	Rheumatic fever in children
rs5743708	Rheumatic Heart Disease
rs5743708	Sepsis
rs5743708	Septicaemia due to gram-negative organism, unspecified
rs5743708	Septicemia
rs5743708	Severe Sepsis
rs5743708	Staphylococcal Infections
rs5743708	Staphylococcus aureus infection
rs5743708	Tuberculosis
rs5743708	Tuberculosis, extrapulmonary
rs5743708	Tuberculosis, Pulmonary
rs5743708	Ulcerative Colitis
rs5743708	Urinary tract infection
rs5743708	Vitiligo
rs5743708	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1 (finding)
rs5743810	Chronic Obstructive Airway Disease
rs5743810	Dermatitis, Atopic
rs5743810	Endometritis
rs5743810	Proctitis
rs5743810	Tuberculosis, Pulmonary
rs5743810	Ulcerative Colitis
rs5743827	Borderline Personality Disorder
rs5743836	Acute malaria
rs5743836	Allergic asthma
rs5743836	Aspergillosis, Allergic Bronchopulmonary
rs5743836	Asthma
rs5743836	Autoimmune Diseases
rs5743836	Chronic kidney disease stage 5
rs5743836	Cytomegalovirus Infections
rs5743836	Degenerative polyarthritis
rs5743836	Experimental Autoimmune Encephalomyelitis
rs5743836	Inflammatory Bowel Diseases
rs5743836	Kidney Failure
rs5743836	Kidney Failure, Chronic
rs5743836	Latent Tuberculosis
rs5743836	Lupus Erythematosus, Systemic
rs5743836	Lymphoma, Large-Cell, Follicular
rs5743836	Lymphoma, Non-Hodgkin
rs5743836	Malaria
rs5743836	Malignant neoplasm of lung
rs5743836	Pneumonia, Viral
rs5743836	Precancerous Conditions
rs5743836	Tuberculosis, Pulmonary
rs5743836	Ulcerative Colitis
rs5743890	Idiopathic Pulmonary Fibrosis
rs5744168	Diabetes
rs5744168	Diabetes Mellitus
rs5744168	Nephritis
rs5744168	Obesity
rs5744174	Crohn Disease
rs5744174	Helicobacter pylori infection
rs5744174	Malignant neoplasm of stomach
rs5744174	Stomach Carcinoma
rs5744455	Acute pancreatitis
rs5744455	Childhood asthma
rs574700	Asthma
rs5751876	Anxiety Disorders
rs5751876	Panic Disorder
rs5751876	PANIC DISORDER 1
rs5751876	Phobic anxiety disorder
rs5767743	Metabolic Diseases
rs5770917	Narcolepsy
rs5770917	Narcolepsy-Cataplexy Syndrome
rs577948	Myopia
rs577948	Myopia, Degenerative
rs5780218	Breast Carcinoma
rs5780218	Breast Fibrocystic Disease
rs5780218	Malignant neoplasm of breast
rs5780218	Neoplasm Metastasis
rs578776	Alcoholic Intoxication, Chronic
rs578776	Attention deficit hyperactivity disorder
rs578776	Carcinoma of lung
rs578776	Malignant neoplasm of lung
rs578776	Nicotine Dependence
rs579459	Acute Coronary Syndrome
rs579459	Alkaline Phosphatase Adverse Event
rs579459	Coronary Arteriosclerosis
rs579459	Coronary Artery Disease
rs579459	Coronary heart disease
rs579459	Rheumatoid Arthritis
rs579459	Vascular Diseases
rs5820604	Dementia, Vascular
rs583583	Schizophrenia
rs5844572	Lupus Erythematosus, Systemic
rs5848	Alzheimer's Disease
rs5848	Amyotrophic Lateral Sclerosis
rs5848	Dementia
rs5848	Frontotemporal dementia
rs5848	Frontotemporal Lobar Degeneration
rs5848	FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, GRN-RELATED
rs5848	GRN-related frontotemporal dementia
rs5848	Hippocampal sclerosis
rs5848	Mild cognitive disorder
rs5848	Neurodegenerative Disorders
rs5848	Parkinson Disease
rs5848	Pick Disease of the Brain
rs58542926	Fatty Liver
rs58542926	Fibrosis, Liver
rs58542926	Hepatitis C, Chronic
rs58542926	Non-alcoholic Fatty Liver Disease
rs58542926	Steatohepatitis
rs5854	Squamous cell carcinoma
rs5882	Cardiovascular Diseases
rs5882	Dementia
rs5882	Impaired cognition
rs5882	Lipid Metabolism Disorders
rs5882	Obesity
rs5882	Presenile dementia
rs5888	Age related macular degeneration
rs5888	Coronary Artery Disease
rs5888	Hypercholesterolemia
rs5888	Myocardial Infarction
rs5896	Kidney Calculi
rs59007384	Epilepsy
rs59007384	Mild cognitive disorder
rs5905512	Psychotic Disorders
rs5905512	Schizophrenia
rs5906761	Atopy
rs5918	Cerebrovascular accident
rs5918	Exercise-induced angina
rs5918	Ischemic Cerebrovascular Accident
rs5918	Ischemic stroke
rs5918	Malignant neoplasm of ovary
rs5918	Ovarian Carcinoma
rs59336	Colorectal Cancer
rs5945326	Diabetes Mellitus, Non-Insulin-Dependent
rs5945572	Malignant neoplasm of prostate
rs5945572	Prostatic Neoplasms
rs595055	Breast Carcinoma
rs595055	Malignant neoplasm of breast
rs5953210	Anaplastic Oligodendroglioma
rs5953210	Malignant neoplasm of pharynx
rs5953210	Malignant Paraganglionic Neoplasm
rs5953210	Pharyngeal Carcinoma
rs595961	Alcoholic Intoxication, Chronic
rs59744560	Obesity
rs59744560	Rheumatoid Arthritis
rs5984894	Alzheimer's Disease
rs598493	Graves Disease
rs5985	Arteriosclerosis
rs5985	Atherosclerosis
rs5985	Colorectal Cancer
rs5985	Colorectal Carcinoma
rs5985	Coronary Arteriosclerosis
rs5985	Coronary Artery Disease
rs5985	Coronary heart disease
rs5985	Deep Vein Thrombosis
rs5985	Myocardial Infarction
rs5985	Pulmonary Embolism
rs5985	Thromboembolism
rs5993882	Depressive Symptoms
rs599839	Coronary Artery Disease
rs599839	Coronary heart disease
rs599839	Heart Diseases
rs599839	Myocardial Infarction
rs599839	Vascular Diseases
rs5999749	Carcinogenesis
rs5999749	Malignant neoplasm of stomach
rs5999749	Stomach Carcinoma
rs6001930	Malignant neoplasm of breast
rs6007897	Cerebrovascular accident
rs6007897	Ischemic Cerebrovascular Accident
rs6007897	Ischemic stroke
rs6010620	Anaplastic astrocytoma
rs6010620	Astrocytoma
rs6010620	Brain Neoplasms
rs6010620	Chromosome 10, monosomy 10q
rs6010620	Glioblastoma
rs6010620	Glioma
rs601338	Cholangitis
rs601338	Cholangitis, Sclerosing
rs601338	Inflammatory Bowel Diseases
rs601341	Diffuse Large B-Cell Lymphoma
rs601341	Lymphoma, Follicular
rs6013897	Breast Carcinoma
rs6013897	Malignant neoplasm of breast
rs6013897	Malignant neoplasm of prostate
rs6013897	Prostate carcinoma
rs6021191	Acute lymphocytic leukemia
rs6021191	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs6023059	Bipolar Disorder
rs6025	Activated Protein C Resistance
rs6025	Colorectal Cancer
rs6025	Colorectal Carcinoma
rs6025	Deep thrombophlebitis
rs6025	Deep Vein Thrombosis
rs6025	Factor V Leiden mutation
rs6025	Protein S Deficiency
rs6025	Pulmonary Embolism
rs6025	Sepsis
rs6025	Thrombophilia
rs6025	THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE (disorder)
rs6025	Venous Thromboembolism
rs6038071	Colorectal Cancer
rs6038071	Colorectal Carcinoma
rs6046	Cerebrovascular accident
rs6050	Deep thrombophlebitis
rs6050	Deep Vein Thrombosis
rs6050	Fibrinogen Adverse Event
rs6054706	Lymphoma, Follicular
rs6058017	Uterine Fibroids
rs6063312	Blood pressure finding
rs6063312	Systemic arterial pressure
rs6064099	Diabetes Mellitus, Non-Insulin-Dependent
rs6065904	Carotid Artery Diseases
rs6066043	Chronic Kidney Diseases
rs6066043	Glomerular filtration rate finding
rs6068916	Diabetes Mellitus, Non-Insulin-Dependent
rs6080539	Amyotrophic Lateral Sclerosis
rs6087990	Leukemia, Myelocytic, Acute
rs6089953	Astrocytoma
rs6094710	Degenerative polyarthritis
rs610604	Graves Disease
rs610604	Psoriasis
rs6107516	Creutzfeldt-Jakob disease
rs611917	Coronary Artery Disease
rs6127698	Tuberculosis, Pulmonary
rs61330082	Coronary Arteriosclerosis
rs61330082	Coronary Artery Disease
rs61330082	Coronary heart disease
rs61330082	Respiratory Distress Syndrome, Adult
rs6136	Cachexia
rs6136	Pancreatic Ductal Adenocarcinoma
rs6136	Rheumatoid Arthritis
rs613872	Fuchs Endothelial Dystrophy
rs6140264	Leukemia, Lymphocytic, Acute, L1
rs6140264	Precursor Cell Lymphoblastic Leukemia Lymphoma
rs614367	Breast Carcinoma
rs614367	Malignant neoplasm of breast
rs6147150	Liver carcinoma
rs6152	Androgenetic Alopecia
rs6152	Benign Prostatic Hyperplasia
rs6152	Malignant neoplasm of prostate
rs6152	Ovarian Diseases
rs6152	Polycystic Ovary Syndrome
rs6152	Prostate carcinoma
rs615470	Alcoholic Intoxication, Chronic
rs615942	Mammographic Density
rs6162	Progressive cGVHD
rs6162	Progressive Neoplastic Disease
rs6165	Azoospermia
rs6165	Male infertility
rs6165	Oligospermia
rs6165	Ovarian Diseases
rs6165	Ovarian Hyperstimulation Syndrome
rs6165	Polycystic Ovary Syndrome
rs61747728	Nephrotic Syndrome
rs61752561	Malignant neoplasm of prostate
rs61752561	Prostate carcinoma
rs61755040	Spina Bifida
rs61764370	Breast Cancer, Familial
rs61764370	Breast Carcinoma
rs61764370	Colorectal Cancer
rs61764370	Colorectal Carcinoma
rs61764370	Epithelial ovarian cancer
rs61764370	Hereditary Breast and Ovarian Cancer Syndrome
rs61764370	Malignant neoplasm of breast
rs61764370	Malignant neoplasm of ovary
rs61764370	Non-Small Cell Lung Carcinoma
rs61764370	Ovarian Carcinoma
rs61815643	Periodontitis, Juvenile
rs61886492	Colorectal Cancer
rs61886492	Colorectal Carcinoma
rs61886492	Coronary Artery Disease
rs619002	Sleeplessness
rs61923114	Tuberculosis
rs619289	Breast Carcinoma
rs619289	Malignant neoplasm of breast
rs619586	Hepatitis B
rs6198	Attention deficit hyperactivity disorder
rs6198	Cardiovascular Diseases
rs6198	Rheumatoid Arthritis
rs62026376	Asthma
rs62026376	Hay fever
rs62033400	Obesity
rs62048402	Obesity
rs62063857	Parkinson Disease
rs6214	Adenocarcinoma Of Esophagus
rs6214	Barrett Esophagus
rs6214	Cancer of Head and Neck
rs6214	Malignant neoplasm of gastrointestinal tract
rs623011	Thyrotoxic periodic paralysis
rs6232	Obesity
rs6232	Pediatric Obesity
rs6234	Diabetes Mellitus, Non-Insulin-Dependent
rs6234	Obesity
rs6234	Overweight
rs623590	Breast Carcinoma
rs623590	Malignant neoplasm of breast
rs6235	Diabetes Mellitus, Non-Insulin-Dependent
rs6235	Obesity
rs6235	Overweight
rs62559044	HIV Infections
rs62589000	Obesity
rs6259	Breast Carcinoma
rs6259	Gallbladder Carcinoma
rs6259	Malignant neoplasm of breast
rs6259	Malignant neoplasm of gallbladder
rs6265	Alcoholic Intoxication, Chronic
rs6265	Alzheimer's Disease
rs6265	Common Migraine
rs6265	Completed Suicide
rs6265	Depressive disorder
rs6265	Depressive episode, unspecified
rs6265	Impaired cognition
rs6265	Major Depressive Disorder
rs6265	Melancholia
rs6265	Mental Depression
rs6265	Mental disorders
rs6265	Metabolic Syndrome X
rs6265	Migraine with Aura
rs6265	Mood Disorders
rs6265	Multiple Sclerosis
rs6265	Obesity
rs6265	Obesity, Abdominal
rs6265	Paranoid Schizophrenia
rs6265	Post-Traumatic Stress Disorder
rs6265	Psoriasis vulgaris
rs6265	Psychiatric symptom
rs6265	Schizophrenia
rs6265	Unipolar Depression
rs6265	Violence
rs6269	Pain
rs6275	Abnormal involuntary movement
rs6275	Headache
rs6275	Migraine Disorders
rs6275	Schizophrenia
rs6276	Alcohol Withdrawal Seizures
rs6276	Hypertensive disease
rs6276	Major Depressive Disorder
rs6276	Unipolar Depression
rs6277	Drug habituation
rs6277	Hypertensive disease
rs6277	INTELLIGENCE QUANTITATIVE TRAIT LOCUS 1
rs6277	Major Depressive Disorder
rs6277	Marijuana Abuse
rs6277	Post-Traumatic Stress Disorder
rs6277	Schizophrenia
rs6277	Unipolar Depression
rs6280	Acute onset pain
rs6280	Adult attention deficit hyperactivity disorder
rs6280	Alcoholic Intoxication, Chronic
rs6280	Anemia, Sickle Cell
rs6280	Bipolar Disorder
rs6280	Bipolar II disorder
rs6280	Chorea
rs6280	Dyskinetic syndrome
rs6280	Essential Tremor
rs6280	Gilles de la Tourette syndrome
rs6280	Heroin Dependence
rs6280	HIV Infections
rs6280	Impaired cognition
rs6280	Lingual-Facial-Buccal Dyskinesia
rs6280	MAJOR AFFECTIVE DISORDER 1
rs6280	MAJOR AFFECTIVE DISORDER 2
rs6280	MAJOR AFFECTIVE DISORDER 4
rs6280	MAJOR AFFECTIVE DISORDER 5
rs6280	MAJOR AFFECTIVE DISORDER 6
rs6280	MAJOR AFFECTIVE DISORDER 7
rs6280	MAJOR AFFECTIVE DISORDER 8
rs6280	MAJOR AFFECTIVE DISORDER 9
rs6280	Mental disorders
rs6280	Migraine Disorders
rs6280	Motor Disorders
rs6280	Nicotine Dependence
rs6280	Nonorganic psychosis
rs6280	Pain
rs6280	Personality Disorders
rs6280	Psychotic Disorders
rs6280	Schizoaffective Disorder
rs6280	Schizophrenia
rs6280	Tardive Dyskinesia
rs6280	Tobacco Use Disorder
rs628117	Schizophrenia
rs629367	Gastritis, Atrophic
rs629367	Malignant neoplasm of stomach
rs629367	Stomach Carcinoma
rs6295	Adult attention deficit hyperactivity disorder
rs6295	Anxiety Disorders
rs6295	Attention deficit hyperactivity disorder
rs6295	Bipolar Disorder
rs6295	Completed Suicide
rs6295	Depressive disorder
rs6295	Depressive Symptoms
rs6295	Epilepsy, Temporal Lobe
rs6295	Gilles de la Tourette syndrome
rs6295	Major Depressive Disorder
rs6295	Mental Depression
rs6295	Mental disorders
rs6295	Migraine Disorders
rs6295	Mood Disorders
rs6295	Panic Attacks
rs6295	Panic Disorder
rs6295	PANIC DISORDER 1
rs6295	Personality Disorders
rs6295	Premenstrual Dysphoric Disorder
rs6295	Schizophrenia
rs6295	Unipolar Depression
rs6296	Alcoholic Intoxication, Chronic
rs6296	Antisocial behavior
rs6296	Attention deficit hyperactivity disorder
rs6296	Bipolar Disorder
rs6296	Headache
rs6296	Major Depressive Disorder
rs6296	Migraine Disorders
rs6296	Mood Disorders
rs6296	Panic Disorder
rs6296	PANIC DISORDER 1
rs6296	Single major depressive episode
rs6296	Substance abuse problem
rs6296	Unipolar Depression
rs629849	Lip and Oral Cavity Carcinoma
rs629849	Malignant neoplasm of mouth
rs6300	Obesity
rs63020761	Cerebrovascular accident
rs6311	Atrial Septal Defects
rs6311	Attention deficit hyperactivity disorder
rs6311	Borderline Personality Disorder
rs6311	Chronic Fatigue Syndrome
rs6311	Depressive Symptoms
rs6311	Fatigue
rs6311	Fibromyalgia
rs6311	Gilles de la Tourette syndrome
rs6311	Heroin Dependence
rs6311	Major Depressive Disorder
rs6311	Nicotine Dependence
rs6311	Obsessive-Compulsive Disorder
rs6311	Osteochondritis Dissecans
rs6311	Psoriasis
rs6311	Tic disorder
rs6311	Unipolar Depression
rs6313	Acute myocardial infarction
rs6313	Alcoholic Intoxication, Chronic
rs6313	Alzheimer's Disease
rs6313	Attention deficit hyperactivity disorder
rs6313	Bipolar Disorder
rs6313	Borderline Personality Disorder
rs6313	Bronchopulmonary Dysplasia
rs6313	Cerebrovascular accident
rs6313	Cystic Fibrosis
rs6313	Delusions
rs6313	Dementia
rs6313	Depressive disorder
rs6313	Depressive Symptoms
rs6313	Drug habituation
rs6313	Essential Hypertension
rs6313	Fibromyalgia
rs6313	Gambling, Pathological
rs6313	Generalized Anxiety Disorder
rs6313	Gilles de la Tourette syndrome
rs6313	Hallucinations
rs6313	Hypertensive disease
rs6313	Ichthyosis Bullosa of Siemens
rs6313	Inattention
rs6313	Irritable Bowel Syndrome
rs6313	Ischemic Cerebrovascular Accident
rs6313	Ischemic stroke
rs6313	Major Depressive Disorder
rs6313	Melancholia
rs6313	Mental Depression
rs6313	Mental disorders
rs6313	Migraine Disorders
rs6313	Mild cognitive disorder
rs6313	Mood Disorders
rs6313	Nicotine Dependence
rs6313	Nonorganic psychosis
rs6313	Obsessive-Compulsive Disorder
rs6313	Osteochondritis Dissecans
rs6313	Panic Disorder
rs6313	PANIC DISORDER 1
rs6313	Presenile dementia
rs6313	Psychotic Disorders
rs6313	Psychotic symptom
rs6313	Schizoaffective Disorder
rs6313	Schizophrenia
rs6313	Sleep Apnea, Obstructive
rs6313	Sleep Bruxism
rs6313	Unipolar Depression
rs6314	Major Depressive Disorder
rs6314	Obesity
rs6314	Rheumatoid Arthritis
rs6314	Schizophrenia
rs6314	Unipolar Depression
rs6318	Alcoholic Intoxication, Chronic
rs6318	Anxiety Disorders
rs6318	Attention deficit hyperactivity disorder
rs6318	Bipolar I disorder
rs6318	Cardiovascular Diseases
rs6318	Dyskinetic syndrome
rs6318	Major Depressive Disorder
rs6318	Mental disorders
rs6318	Migraine Disorders
rs6318	Migraine with Aura
rs6318	Mood Disorders
rs6318	Obesity
rs6318	Pituitary Diseases
rs6318	Premature Ejaculation
rs6318	Recurrent major depressive episodes
rs6318	Seasonal Affective Disorder
rs6318	Unipolar Depression
rs632793	Coronary Artery Disease
rs632793	Diabetes Mellitus, Non-Insulin-Dependent
rs632793	Hyperlipidemia
rs6330	Anxiety Disorders
rs6330	Dementia
rs6330	Executive dysfunction
rs6330	Presenile dementia
rs6332	Alzheimer's Disease
rs6332	Attention deficit hyperactivity disorder
rs6332	Dementia
rs6332	Presenile dementia
rs6347	Dementia
rs6347	Presenile dementia
rs634990	Refractive Errors
rs636832	Hepatitis B
rs636832	Hepatitis B, Chronic
rs640198	Coronary Arteriosclerosis
rs640198	Coronary Artery Disease
rs640198	Coronary heart disease
rs6413453	Diabetes Mellitus, Non-Insulin-Dependent
rs6415084	Coronary Artery Disease
rs642961	Cleft Lip
rs642961	Nonsyndromic cleft lip with or without cleft palate
rs6432860	Febrile Convulsions
rs6432860	Psychological symptom
rs6432860	temporal pain
rs6434804	Creatinine finding
rs6434804	Glomerular filtration rate finding
rs6435862	Central neuroblastoma
rs6435862	Neuroblastoma
rs6441224	Malignant neoplasm of prostate
rs6441224	Prostate carcinoma
rs6442925	Bipolar Disorder
rs6442925	Keratoconus
rs6443624	Endometrial Carcinoma
rs6443624	Malignant neoplasm of endometrium
rs6443624	Squamous cell carcinoma of esophagus
rs6443624	Uterine Corpus Cancer
rs6445055	Glaucoma, Primary Open Angle
rs6445055	Intraocular pressure disorder
rs6445834	Metabolic Syndrome X
rs6447493	Alcoholic Intoxication, Chronic
rs6449182	Atrial Septal Defects
rs6449182	Chronic Lymphocytic Leukemia
rs6449182	Lymphoma
rs6449182	Lymphoma, Non-Hodgkin
rs645106	Hypertensive disease
rs6455128	Alzheimer's Disease
rs6457327	Lymphoma, Follicular
rs6457617	Cervix carcinoma
rs6457617	Graves Disease
rs6457617	Lupus Erythematosus, Systemic
rs6457617	Rheumatoid Arthritis
rs6457617	Sclerosis
rs6457617	Systemic Scleroderma
rs6458238	Gastritis, Atrophic
rs6458238	Malignant neoplasm of stomach
rs6458238	Stomach Carcinoma
rs6458939	Obesity
rs6464211	Colorectal Cancer
rs6464211	Colorectal Carcinoma
rs6465084	Manic
rs6465084	Psychotic symptom
rs6465657	Adenocarcinoma
rs6465657	Malignant neoplasm of prostate
rs6465657	Prostatic Neoplasms
rs646776	Carotid Artery Diseases
rs646776	Coronary Artery Disease
rs646776	Coronary heart disease
rs646776	Frontotemporal Lobar Degeneration
rs646776	Mild cognitive disorder
rs646776	Myocardial Infarction
rs646776	Neurodegenerative Disorders
rs647161	Colorectal Cancer
rs6475526	Neoplasm Metastasis
rs6475606	Intracranial Aneurysm
rs6478108	Leprosy
rs6478108	Perianal fistula
rs6484218	Bipolar Disorder
rs6484218	Seizures
rs6490121	Schizophrenia
rs6495309	Carcinoma of lung
rs6495309	Chronic Obstructive Airway Disease
rs6495309	Malignant neoplasm of lung
rs6495309	Non-Small Cell Lung Carcinoma
rs6498486	Colorectal Cancer
rs6498486	Colorectal Carcinoma
rs6498486	Squamous cell carcinoma of esophagus
rs6498486	Xeroderma pigmentosum, group F
rs6502867	Autoimmune Diseases
rs6502997	Toxoplasmosis, Congenital
rs6503525	Asthma
rs6503691	Breast Carcinoma
rs6503691	Cardiomyopathy, Dilated
rs6503691	Malignant neoplasm of breast
rs6504950	Breast Carcinoma
rs6504950	Carcinoma of Male Breast
rs6504950	Female Breast Carcinoma
rs6504950	Malignant neoplasm of breast
rs6504950	Malignant neoplasm of female breast
rs6504950	Malignant neoplasm of male breast
rs6505162	Breast Carcinoma
rs6505162	Carcinogenesis
rs6505162	Esophageal carcinoma
rs6505162	Esophageal Neoplasms
rs6505162	Malignant neoplasm of breast
rs6505162	Malignant neoplasm of esophagus
rs6505162	Malignant neoplasm of ovary
rs6505162	Non-Small Cell Lung Carcinoma
rs6505162	Ovarian Carcinoma
rs6505162	Squamous cell carcinoma of esophagus
rs651007	Obesity
rs651007	Overweight
rs6511720	Aortic Aneurysm
rs6511720	Aortic Aneurysm, Abdominal
rs6511720	Cardiovascular Diseases
rs6520278	Rheumatoid Arthritis
rs6520785	Sleep Apnea, Obstructive
rs652438	Aggressive periodontitis, generalized
rs652438	Carcinoma of lung
rs652438	Chronic Obstructive Airway Disease
rs652438	Malignant neoplasm of lung
rs6526342	Mental disorders
rs652888	Hepatitis B, Chronic
rs652888	Idiopathic Membranous Glomerulonephritis
rs652888	Lupus Erythematosus, Systemic
rs653178	Antiphospholipid Syndrome
rs653178	Autoimmune Diseases
rs653178	Blood pressure finding
rs653178	Celiac Disease
rs653178	Chronic Kidney Diseases
rs653178	Coronary Arteriosclerosis
rs653178	Coronary Artery Disease
rs653178	Coronary heart disease
rs653178	Peripheral Arterial Diseases
rs653178	Systemic arterial pressure
rs6535455	Bone Diseases
rs653753	Diabetes Mellitus, Insulin-Dependent
rs653753	Diabetic Nephropathy
rs6551665	Attention Deficit Disorder
rs6551665	Attention deficit hyperactivity disorder
rs6559629	Ileal Diseases
rs6567160	Obesity
rs6569479	Breast Carcinoma
rs6569479	Malignant neoplasm of breast
rs6576507	Insulin Resistance
rs6577641	Cardiomyopathy, Familial Hypertrophic, 1 (disorder)
rs6583813	Diabetes Mellitus, Non-Insulin-Dependent
rs6583817	Diabetes Mellitus, Non-Insulin-Dependent
rs6584273	Diabetes Mellitus, Non-Insulin-Dependent
rs6586161	Malignant neoplasm of stomach
rs6586161	Stomach Carcinoma
rs6586714	Adenoma
rs6590330	Lupus Erythematosus, Systemic
rs6590357	Essential Hypertension
rs659366	Diabetes
rs659366	Diabetes Mellitus
rs659366	Multiple Sclerosis
rs659366	Myocardial Infarction
rs659366	Obesity
rs659366	Pediatric Obesity
rs6596140	Hypertensive disease
rs6596473	Periodontitis, Juvenile
rs6596473	Ulcerative Colitis
rs6599077	Duration of sleep
rs660118	Breast Carcinoma
rs660118	Glioblastoma
rs660118	Malignant neoplasm of breast
rs660652	Carcinoma of lung
rs660652	Lung Diseases, Obstructive
rs660652	Malignant neoplasm of lung
rs660652	Nicotine Dependence
rs660895	Rheumatoid Arthritis
rs6609533	Chronic Obstructive Airway Disease
rs662702	Severe myopia
rs662799	Acute myocardial infarction
rs662799	Cardiovascular Diseases
rs662799	Cerebrovascular accident
rs662799	Coronary Arteriosclerosis
rs662799	Coronary Artery Disease
rs662799	Coronary heart disease
rs662799	Diabetes Mellitus, Non-Insulin-Dependent
rs662799	HIV Infections
rs662799	Hypertensive disease
rs662799	Ischemic Cerebrovascular Accident
rs662799	Ischemic stroke
rs662799	Metabolic Syndrome X
rs662799	Obesity
rs662	Acute Coronary Syndrome
rs662	Acute leukemia
rs662	Age related macular degeneration
